confidentiality_status,bio_data,adult_data,larval_site_data,insecticide_resistance_data,source_id,citation_doi,author,article_title,journal_title,publication_year,study_sampling_design,personal_communication,contact_authors,source_notes,country,site,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7,latitude_8,longitude_8,confidence_in_georef,area_type,georef_source,admin_level_1,admin_level_2,site_notes,insecticide_control,control_type,itn_use,control_notes,sampling_occurrence_1,occurrence_n_1,sampling_occurrence_2,occurrence_n_2,sampling_occurrence_3,occurrence_n_3,sampling_occurrence_4,occurrence_n_4,occurrence_n_total,occurrence_notes,binary_presence,binary_absence,abundance_data_in_a_graph,month_start,month_end,year_start,year_end,season_given,season_calc,rainfall_time,season_notes,species,species_notes,species_id_1,species_id_2
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,djenne,13.9062,-4.56616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bandiaga,14.3494,-3.61033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bankass,14.08132,-3.52022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,koulikoro,12.8673,-7.5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,baroueli,13.0737,-6.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide area,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,niono,14.22546,-5.96985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,djenne,13.9062,-4.56616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bandiaga,14.3494,-3.61033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bankass,14.08132,-3.52022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,koulikoro,12.8673,-7.5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,baroueli,13.0737,-6.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide area,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,niono,14.22546,-5.96985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,djenne,13.9062,-4.56616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bandiaga,14.3494,-3.61033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bankass,14.08132,-3.52022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,koulikoro,12.8673,-7.5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,baroueli,13.0737,-6.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide area,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,niono,14.22546,-5.96985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,djenne,13.9062,-4.56616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bandiaga,14.3494,-3.61033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bankass,14.08132,-3.52022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,koulikoro,12.8673,-7.5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,baroueli,13.0737,-6.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide area,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,niono,14.22546,-5.96985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,yes,itn,itn,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,koulikoro,12.8673,-7.5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bla,12.9582,-5.7533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,baroueli,13.0737,-6.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,niono,14.22546,-5.96985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide area,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,djenne,13.9062,-4.56616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bandiagara,14.3494,-3.61033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bankass,14.08132,-3.52022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,koulikoro,12.8673,-7.5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bla,12.9582,-5.7533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,baroueli,13.0737,-6.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,niono,14.22546,-5.96985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide area,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,djenne,13.9062,-4.56616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bandiagara,14.3494,-3.61033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bankass,14.08132,-3.52022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,koulikoro,12.8673,-7.5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2018,2018,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,bla,12.9582,-5.7533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2018,2018,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,baroueli,13.0737,-6.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,point,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2018,2018,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1001790,10.1186/s13071-020-04100-7,Sovi,"Anopheles gambiae (s.l.) exhibit
high intensity pyrethroid resistance
throughout Southern and Central Mali
(2016Ã‚Â–2018): PBO or next generation
LLINs may provide greater control",parasites and vectors,2020,preferential,NA,yes,ask authors for coordinates  and sampling months,mali,niono,14.22546,-5.96985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide area,,,,searched for site names in google maps and measured the boubdaries to determine the area type,,,,,larvae,NA,,NA,,NA,NA,NA,NA,,yes,no,,NA,NA,2018,2018,,NA,,,gambiae complex,,morph,
